category;date;downloads
without_mirrors;2021-10-26;2
with_mirrors;2021-10-26;4
with_mirrors;2021-10-27;46
without_mirrors;2021-10-27;46
without_mirrors;2021-10-28;6
with_mirrors;2021-10-28;54
without_mirrors;2021-10-29;1
with_mirrors;2021-10-29;43
without_mirrors;2021-10-30;3
with_mirrors;2021-10-30;3
with_mirrors;2021-10-31;6
without_mirrors;2021-11-01;2
with_mirrors;2021-11-01;9
with_mirrors;2021-11-02;7
without_mirrors;2021-11-02;1
without_mirrors;2021-11-03;2
with_mirrors;2021-11-03;2
with_mirrors;2021-11-04;66
without_mirrors;2021-11-04;4
with_mirrors;2021-11-05;49
without_mirrors;2021-11-05;1
without_mirrors;2021-11-06;2
with_mirrors;2021-11-06;2
without_mirrors;2021-11-07;1
with_mirrors;2021-11-07;7
with_mirrors;2021-11-08;47
without_mirrors;2021-11-08;1
without_mirrors;2021-11-09;11
with_mirrors;2021-11-09;11
without_mirrors;2021-11-10;1
with_mirrors;2021-11-10;13
without_mirrors;2021-11-11;2
with_mirrors;2021-11-11;8
without_mirrors;2021-11-12;4
with_mirrors;2021-11-12;10
with_mirrors;2021-11-13;1
with_mirrors;2021-11-14;44
with_mirrors;2021-11-15;26
with_mirrors;2021-11-16;84
without_mirrors;2021-11-16;42
without_mirrors;2021-11-17;1
with_mirrors;2021-11-17;45
with_mirrors;2021-11-18;49
without_mirrors;2021-11-18;3
without_mirrors;2021-11-19;1
with_mirrors;2021-11-19;7
with_mirrors;2021-11-20;84
with_mirrors;2021-11-21;2
without_mirrors;2021-11-21;2
with_mirrors;2021-11-22;95
without_mirrors;2021-11-22;1
without_mirrors;2021-11-23;1
with_mirrors;2021-11-23;7
with_mirrors;2021-11-24;66
without_mirrors;2021-11-24;5
with_mirrors;2021-11-25;11
without_mirrors;2021-11-25;2
without_mirrors;2021-11-26;1
with_mirrors;2021-11-26;35
with_mirrors;2021-11-27;44
without_mirrors;2021-11-27;2
without_mirrors;2021-11-28;11
with_mirrors;2021-11-28;17
with_mirrors;2021-11-29;55
without_mirrors;2021-11-29;5
with_mirrors;2021-11-30;141
without_mirrors;2021-11-30;29
with_mirrors;2021-12-01;200
without_mirrors;2021-12-01;25
without_mirrors;2021-12-02;5
with_mirrors;2021-12-02;75
with_mirrors;2021-12-03;26
without_mirrors;2021-12-03;8
with_mirrors;2021-12-04;90
without_mirrors;2021-12-04;90
with_mirrors;2021-12-05;8
without_mirrors;2021-12-05;3
with_mirrors;2021-12-06;267
without_mirrors;2021-12-06;6
with_mirrors;2021-12-07;3
without_mirrors;2021-12-07;2
with_mirrors;2021-12-08;47
without_mirrors;2021-12-08;1
with_mirrors;2021-12-09;53
without_mirrors;2021-12-09;4
without_mirrors;2021-12-10;1
with_mirrors;2021-12-10;83
with_mirrors;2021-12-11;46
without_mirrors;2021-12-11;2
without_mirrors;2021-12-12;2
with_mirrors;2021-12-12;12
with_mirrors;2021-12-13;10
without_mirrors;2021-12-13;1
with_mirrors;2021-12-14;6
without_mirrors;2021-12-14;3
with_mirrors;2021-12-15;94
without_mirrors;2021-12-15;1
without_mirrors;2021-12-16;1
with_mirrors;2021-12-16;70
without_mirrors;2021-12-17;4
with_mirrors;2021-12-17;138
with_mirrors;2021-12-18;135
without_mirrors;2021-12-18;3
without_mirrors;2021-12-19;2
with_mirrors;2021-12-19;50
with_mirrors;2021-12-20;49
without_mirrors;2021-12-20;1
with_mirrors;2021-12-21;46
without_mirrors;2021-12-21;2
with_mirrors;2021-12-22;65
without_mirrors;2021-12-23;3
with_mirrors;2021-12-23;56
with_mirrors;2021-12-24;139
without_mirrors;2021-12-24;1
without_mirrors;2021-12-25;1
with_mirrors;2021-12-25;10
with_mirrors;2021-12-27;5
without_mirrors;2021-12-27;3
without_mirrors;2021-12-28;3
with_mirrors;2021-12-28;3
with_mirrors;2021-12-29;45
without_mirrors;2021-12-29;1
with_mirrors;2021-12-30;1
without_mirrors;2021-12-30;1
with_mirrors;2021-12-31;6
without_mirrors;2021-12-31;6
without_mirrors;2022-01-01;3
with_mirrors;2022-01-01;49
with_mirrors;2022-01-02;44
with_mirrors;2022-01-03;92
with_mirrors;2022-01-04;67
without_mirrors;2022-01-04;3
with_mirrors;2022-01-05;52
with_mirrors;2022-01-06;51
without_mirrors;2022-01-06;1
with_mirrors;2022-01-07;13
without_mirrors;2022-01-07;9
with_mirrors;2022-01-08;89
with_mirrors;2022-01-09;3
without_mirrors;2022-01-09;3
with_mirrors;2022-01-10;47
without_mirrors;2022-01-10;45
with_mirrors;2022-01-11;48
without_mirrors;2022-01-12;1
with_mirrors;2022-01-12;155
without_mirrors;2022-01-13;11
with_mirrors;2022-01-13;17
with_mirrors;2022-01-14;65
without_mirrors;2022-01-14;3
without_mirrors;2022-01-15;6
with_mirrors;2022-01-15;13
without_mirrors;2022-01-16;2
with_mirrors;2022-01-16;58
without_mirrors;2022-01-17;2
with_mirrors;2022-01-17;6
with_mirrors;2022-01-18;5
without_mirrors;2022-01-18;3
with_mirrors;2022-01-19;133
with_mirrors;2022-01-20;48
without_mirrors;2022-01-20;2
without_mirrors;2022-01-21;30
with_mirrors;2022-01-21;148
without_mirrors;2022-01-22;2
with_mirrors;2022-01-22;85
without_mirrors;2022-01-23;1
with_mirrors;2022-01-23;49
with_mirrors;2022-01-24;44
with_mirrors;2022-01-25;4
without_mirrors;2022-01-25;2
with_mirrors;2022-01-27;1
without_mirrors;2022-01-27;1
with_mirrors;2022-01-28;55
without_mirrors;2022-01-28;3
with_mirrors;2022-01-29;50
without_mirrors;2022-01-29;4
without_mirrors;2022-01-30;1
with_mirrors;2022-01-30;1
with_mirrors;2022-01-31;1
without_mirrors;2022-01-31;1
with_mirrors;2022-02-01;9
without_mirrors;2022-02-01;1
with_mirrors;2022-02-02;44
with_mirrors;2022-02-03;92
without_mirrors;2022-02-04;2
with_mirrors;2022-02-04;92
with_mirrors;2022-02-05;12
without_mirrors;2022-02-06;3
with_mirrors;2022-02-06;91
without_mirrors;2022-02-07;4
with_mirrors;2022-02-07;22
with_mirrors;2022-02-08;41
with_mirrors;2022-02-09;48
with_mirrors;2022-02-10;94
with_mirrors;2022-02-11;3
without_mirrors;2022-02-11;2
with_mirrors;2022-02-12;14
without_mirrors;2022-02-12;14
without_mirrors;2022-02-13;4
with_mirrors;2022-02-13;12
without_mirrors;2022-02-14;2
with_mirrors;2022-02-14;76
without_mirrors;2022-02-15;10
with_mirrors;2022-02-15;12
without_mirrors;2022-02-16;5
with_mirrors;2022-02-16;28
without_mirrors;2022-02-18;47
with_mirrors;2022-02-18;47
with_mirrors;2022-02-19;181
without_mirrors;2022-02-19;133
without_mirrors;2022-02-20;46
with_mirrors;2022-02-20;120
without_mirrors;2022-02-21;135
with_mirrors;2022-02-21;214
with_mirrors;2022-02-22;131
without_mirrors;2022-02-22;88
without_mirrors;2022-02-23;44
with_mirrors;2022-02-23;48
with_mirrors;2022-02-24;50
with_mirrors;2022-02-25;53
without_mirrors;2022-02-25;3
without_mirrors;2022-02-26;45
with_mirrors;2022-02-26;89
with_mirrors;2022-02-27;44
with_mirrors;2022-02-28;207
without_mirrors;2022-02-28;44
with_mirrors;2022-03-01;78
without_mirrors;2022-03-01;50
with_mirrors;2022-03-02;151
without_mirrors;2022-03-02;50
without_mirrors;2022-03-03;2
with_mirrors;2022-03-03;104
without_mirrors;2022-03-04;51
with_mirrors;2022-03-04;174
with_mirrors;2022-03-05;278
without_mirrors;2022-03-05;1
with_mirrors;2022-03-06;130
without_mirrors;2022-03-06;1
without_mirrors;2022-03-07;4
with_mirrors;2022-03-07;140
with_mirrors;2022-03-08;113
without_mirrors;2022-03-08;9
without_mirrors;2022-03-09;47
with_mirrors;2022-03-09;159
without_mirrors;2022-03-10;72
with_mirrors;2022-03-10;218
without_mirrors;2022-03-11;46
with_mirrors;2022-03-11;154
with_mirrors;2022-03-12;58
with_mirrors;2022-03-13;25
without_mirrors;2022-03-13;2
